Item Name,SKU,Price,Ratings
New!LG - 29.5 Cu. Ft. 4-Door French Door Refrigerator with InstaView Door-in-Door and Craft Ice - PrintProof Stainless Steel,6401619 ,"$3,299.99","Rating, 5 out of 5 with 4 reviews"
New!Samsung - Family Hub 26.5 Cu. Ft. French Door Refrigerator - Black stainless steel,6364256 ,"$2,299.99","Rating, 4.6 out of 5 with 22 reviews"
LG - 27.5 Cu. Ft. French InstaView Door-in-Door Smart Wi-Fi Enabled Refrigerator - Stainless steel,6225308 ,"$2,411.99","Rating, 4.7 out of 5 with 166 reviews"
Insignia™ - 20.9 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,6328350 ,"$1,149.99","Rating, 5 out of 5 with 6 reviews"
LG - 23.5 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator with Craft Ice - PrintProof Stainless Steel,4510603 ,"$2,999.99","Rating, 4.7 out of 5 with 74 reviews"
Samsung - 27.8 cu. ft. 4-Door French Door Refrigerator with Food Showcase Fingerprint Resistant - Black stainless steel,6323228 ,"$2,299.99","Rating, 4.5 out of 5 with 658 reviews"
LG - 22.6 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator with Ice Maker - PrintProof Stainless Steel,5728812 ,"$1,699.99","Rating, 5 out of 5 with 2 reviews"
Samsung - 22.6 Cu. Ft. 4-Door Flex French Door Counter-Depth  Fingerprint Resistant Refrigerator - Black stainless steel,6397177 ,"$2,299.99","Rating, 4.4 out of 5 with 1269 reviews"
Samsung - 22.6 cu. ft. 4-Door French Door Counter Depth Refrigerator with FlexZone™ Drawer - Fingerprint Resistant Black Stainless Steel,6360730 ,"$2,199.99","Rating, 4.6 out of 5 with 190 reviews"
LG - 24.5 Cu. Ft. French Door Refrigerator with Wi-Fi - PrintProof Stainless Steel,6323234 ,"$1,799.99","Rating, 4.5 out of 5 with 103 reviews"
Samsung - 28  cu. ft. 4-Door French Door Refrigerator with FlexZone™ Drawer - Fingerprint Resistant Stainless Steel,6323216 ,"$1,999.99","Rating, 4.4 out of 5 with 317 reviews"
Samsung - 26 cu. ft. 3-Door French Door Refrigerator with CoolSelect Pantry - Stainless steel,5580242 ,"$1,699.99","Rating, 4.4 out of 5 with 441 reviews"
Samsung - 25.5 Cu. Ft. French Door Fingerprint Resistant Refrigerator - Black stainless steel,2947018 ,"$1,299.99","Rating, 4.5 out of 5 with 1059 reviews"
GE - ENERGY STAR® 22.1 Cu. Ft. Counter-Depth Fingerprint Resistant French-Door Refrigerator - Stainless steel,6403422 ,"$1,999.99","Rating, 2.9 out of 5 with 7 reviews"
